Date,Adj Close,COD_release,Weeks_after_COD,Price_Subtracted,
407,24-08-2015,28.109741,0,42,8.445646
408,31-08-2015,27.032301,0,43,7.368206
409,07-09-2015,28.042402,0,44,8.378307
410,14-09-2015,29.91831,0,45,10.254215
411,21-09-2015,30.841835,0,46,11.17774
412,28-09-2015,30.264631,0,47,10.600536
413,05-10-2015,30.851454,0,48,11.187359
414,12-10-2015,32.871658,0,49,13.207563
415,19-10-2015,33.573925,0,50,13.90983
416,26-10-2015,33.43924,0,51,13.775145
417,02-11-2015,33.670128,1,0,0
418,09-11-2015,33.275703,0,1,-0.394425
419,16-11-2015,36.084747,0,2,2.414619
420,23-11-2015,35.825016,0,3,2.154888
421,30-11-2015,37.412323,0,4,3.742195
422,07-12-2015,35.805775,0,5,2.135647
423,14-12-2015,37.008278,0,6,3.33815
424,21-12-2015,37.441174,0,7,3.771046
425,28-12-2015,37.239159,0,8,3.569031
426,04-01-2016,34.353142,0,9,0.683014
427,11-01-2016,33.583546,0,10,-0.086582
428,18-01-2016,34.555168,0,11,0.88504
429,25-01-2016,33.49696,0,12,-0.173168
430,01-02-2016,29.369968,0,13,-4.30016
431,08-02-2016,27.051542,0,14,-6.618586
432,15-02-2016,29.042887,0,15,-4.627241
433,22-02-2016,30.678293,0,16,-2.991835
434,29-02-2016,30.004892,0,17,-3.665236
435,07-03-2016,30.322351,0,18,-3.347777
436,14-03-2016,30.976515,0,19,-2.693613
437,21-03-2016,30.986135,0,20,-2.683993
438,28-03-2016,33.11216,0,21,-0.557968
439,04-04-2016,32.945198,0,22,-0.72493
440,11-04-2016,33.527096,0,23,-0.143032
441,18-04-2016,33.604683,0,24,-0.065445
442,25-04-2016,33.430107,0,25,-0.240021
443,02-05-2016,36.727543,0,26,3.057415
444,09-05-2016,37.134869,0,27,3.464741
445,16-05-2016,36.397797,0,28,2.727669
446,23-05-2016,38.153194,0,29,4.483066
447,30-05-2016,36.66935,0,30,2.999222
448,06-06-2016,36.630554,0,31,2.960426
449,13-06-2016,36.931206,0,32,3.261078
450,20-06-2016,35.864388,0,33,2.19426
451,27-06-2016,38.415043,0,34,4.744915
452,04-07-2016,40.044369,0,35,6.374241
453,11-07-2016,40.926914,0,36,7.256786
454,18-07-2016,40.189838,0,37,6.51971
455,25-07-2016,38.948456,0,38,5.278328
456,01-08-2016,39.336388,0,39,5.66626
457,08-08-2016,39.898888,0,40,6.22876
458,15-08-2016,38.773888,0,41,5.10376
459,22-08-2016,39.811604,0,42,6.141476
460,29-08-2016,41.508808,0,43,7.83868
461,05-09-2016,41.014198,0,44,7.34407
462,12-09-2016,43.079937,0,45,9.409809
463,19-09-2016,43.021751,0,46,9.351623
464,26-09-2016,42.963554,0,47,9.293426
465,03-10-2016,42.59502,0,48,8.924892
466,10-10-2016,42.37196,0,49,8.701832
467,17-10-2016,43.19632,0,50,9.526192
468,24-10-2016,42.013126,0,51,8.342998
469,31-10-2016,40.441998,1,0,0
470,07-11-2016,38.221081,0,1,-2.220917
471,14-11-2016,37.231853,0,2,-3.210145
472,21-11-2016,36.097149,0,3,-4.344849
473,28-11-2016,34.632702,0,4,-5.809296
474,05-12-2016,35.680122,0,5,-4.761876
475,12-12-2016,35.369774,0,6,-5.072224
